0,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000053,-0.000000,0.000411
11,0.000053,-0.000000,0.000411
12,0.000053,-0.000000,0.000411
13,0.000053,-0.000000,0.000411
14,0.000053,-0.000000,0.000411
15,0.000053,-0.000000,0.000411
16,0.000053,-0.000000,0.000411
17,0.000158,-0.000000,0.000411
18,0.000263,-0.000000,0.000411
19,0.000368,-0.000000,0.000411
20,0.000474,-0.000000,0.000411
21,0.000684,-0.000000,0.000411
22,0.001000,-0.000000,-0.000411
23,0.001263,0.000000,-0.000822
24,0.001579,0.000000,-0.000822
25,0.001947,0.000001,-0.001233
26,0.002421,0.000002,-0.001644
27,0.002894,0.000003,-0.002056
28,0.003473,0.000004,-0.002467
29,0.004052,0.000006,-0.002878
30,0.004683,0.000008,-0.003700
31,0.005420,0.000011,-0.004522
32,0.006209,0.000015,-0.004933
33,0.007104,0.000020,-0.005344
34,0.007998,0.000025,-0.005755
35,0.008998,0.000031,-0.006167
36,0.010051,0.000039,-0.006989
37,0.011156,0.000046,-0.006578
38,0.012313,0.000054,-0.007400
39,0.013629,0.000064,-0.006989
40,0.015050,0.000073,-0.006578
41,0.016470,0.000083,-0.006989
42,0.017996,0.000093,-0.006578
43,0.019575,0.000102,-0.005755
44,0.021259,0.000112,-0.005755
45,0.023101,0.000122,-0.005344
46,0.024942,0.000131,-0.004933
47,0.026889,0.000139,-0.004522
48,0.028889,0.000149,-0.004522
49,0.030941,0.000157,-0.004111
50,0.033151,0.000164,-0.003289
51,0.035361,0.000173,-0.004111
52,0.037677,0.000181,-0.003289
53,0.039992,0.000189,-0.003289
54,0.042518,0.000197,-0.003289
55,0.045044,0.000205,-0.003289
56,0.047622,0.000215,-0.003700
57,0.050253,0.000224,-0.003700
58,0.052937,0.000235,-0.004111
59,0.055831,0.000249,-0.004522
60,0.058620,0.000262,-0.004933
61,0.061567,0.000279,-0.005755
62,0.064566,0.000298,-0.006167
63,0.067565,0.000318,-0.006578
64,0.070670,0.000339,-0.006989
65,0.073722,0.000363,-0.007811
66,0.076984,0.000391,-0.008633
67,0.080194,0.000423,-0.009867
68,0.083457,0.000458,-0.010689
69,0.086877,0.000496,-0.011100
70,0.090244,0.000539,-0.012744
